miRNA,SRR12344552_trim_joined isomir+miRNA Entropy,SRR12344552_trim_joined Canonical Sequence,SRR12344552_trim_joined Canonical RPM,SRR12344552_trim_joined Top Isomir RPM
Hsa-Mir-486_5p,0.13141608365186289,77.05815046504155,331860.5259490554,62297.327315355054
Hsa-Mir-192-P1_5p,0.09157746858773527,92.43093444184636,6901.986042765411,175.24952849146692
Hsa-Mir-92-P1b_3p,0.23117183548243764,54.37194686738165,18966.073049306226,7642.108128959078
Hsa-Mir-92-P1a_3p,0.09931193755864871,88.37960665794579,50681.06428844649,3307.1073383961693
Hsa-Mir-584_5p,0.19643677568842788,83.75870069605568,350.17571836948093,21.987025714796587
Hsa-Mir-101-P2-v2_3p,0.1968481384514447,80.40152963671127,1359.6388695694066,135.47887903676133
Hsa-Let-7-P10_5p,0.058535780414723675,95.14548737530711,10393.073052216276,372.8094213111833
Hsa-Let-7-P11_5p,0.06654888695095248,93.50180505415163,3433.5327362562493,178.80625323944872
Hsa-Mir-17-P4_3p,0.07441548156979655,95.07575757575758,1217.3698796501346,16.16693067264455
Hsa-Mir-22-P1a_3p,0.016346241118121736,99.0456720987463,33054.583114675595,63.697706850219525
Hsa-Mir-28-P2_3p,0.2699502465239842,70.46669907632474,1874.717280799862,210.49343735783205
Hsa-Mir-154-P25_3p,0.43521002725056795,11.111111111111112,0.323338613452891,0.9700158403586729
Hsa-Mir-142-P1-v2_5p*,0.05238809101743978,96.96312364425162,2601.5824838419608,10.02349701703962
Hsa-Mir-140-v2_3p,0.38666560360699725,48.22409373855731,425.83695391745744,202.73331063496266
Hsa-Mir-143_3p,0.15923956673914016,81.04741324520148,4123.213998751266,638.2704229560069
Hsa-Mir-101-P1-v2_3p,0.33335294487060624,53.18652849740932,663.8141734187852,358.25918370580325
Hsa-Mir-423_3p,0.12851336419978768,87.97859690844233,2392.3824009379405,99.26495433003754
Hsa-Mir-181-P1a_3p*,0.36333845767263,73.95833333333334,22.95704155515526,3.23338613452891
Hsa-Mir-3909_3p,0.3667085330037513,64.38356164383562,15.196914832285877,2.263370294170237
Hsa-Mir-146-P1_5p,0.21322323788738534,77.2020725388601,1397.146148729942,243.4739759300269
Hsa-Mir-103-P3_3p,0.06464408752493557,94.75902768020232,4361.191218252594,211.4634531981907
Hsa-Mir-26-P3_5p,0.11887039101268278,90.58544303797468,2961.7816992284816,102.17500185111355
Hsa-Mir-139_3p,0.7379063199459914,7.142857142857142,0.9700158403586729,4.526740588340474
Hsa-Mir-30-P1b_5p,0.05748045455790186,95.88616381304952,6699.899409357355,56.907595967708815
Hsa-Let-7-P12_5p,0.10271758244560109,87.90635451505017,6373.97408699684,678.0410724107124
Hsa-Mir-223_3p,0.1486409512727475,88.20362674726105,3019.659311036549,118.665271137211
Hsa-Mir-490_3p,0.7001393662732488,4.166666666666667,0.646677226905782,2.586708907623128
Hsa-Mir-30-P1c_5p,0.06063718605465526,95.47723790222926,6245.608657456042,75.98457416142938
Hsa-Mir-150_5p,0.21635681076343383,77.94591912676755,1015.9299234689835,143.8856829865365
Hsa-Mir-17-P5_5p,0.036551449073892836,97.53891459823308,5997.284602324222,57.230934581161705
Hsa-Mir-134_5p,0.33803419273494484,59.375,6.143433655604929,1.293354453811564
Hsa-Mir-181-P1b_5p,0.17227640531502422,80.56987533976942,2779.418721241051,463.02089446453994
Hsa-Mir-192-P2_5p,0.19843127724924212,83.97163120567376,382.83291832822295,28.453797983854408
Hsa-Mir-92-P2_3p,0.05178573647605579,96.22145117626873,16319.546498194315,168.1360789955033
Hsa-Mir-15-P2b_5p,0.011157374183059447,99.46261541506398,74747.15728774517,93.1215206744326
Hsa-Mir-92-P3_3p,0.5075746437119075,38.45903771131339,382.50957971477004,106.37840382600113
Hsa-Mir-3200_5p*,0.4042417776784173,56.8421052631579,17.460285126456114,1.9400316807173459
Hsa-Mir-101-P2-v1_3p,0.1801739178219953,69.29815520972895,2174.128836857239,938.0053176268368
Hsa-Let-7-P8_5p,0.11883280896981809,90.70413835701049,2848.9365231334227,57.87761180806749
Hsa-Mir-122_5p,0.3752819461484465,59.32203389830509,22.63370294170237,10.993512857398294
Hsa-Mir-188-P2_5p,0.22333315688225447,74.23208191126281,703.261484260038,145.17903744034805
Hsa-Mir-30-P2a_3p*,0.7267806076615847,21.739130434782613,1.616693067264455,2.263370294170237
Hsa-Mir-942-v1_5p,0.4278571079043746,74.31192660550458,52.38085537936834,13.580221765021422
Hsa-Mir-423_5p,0.03969170043385483,97.24670365399781,22726.501123763348,119.63528697756966
Hsa-Mir-26-P2_5p,0.07603551672945875,93.90224177530489,9385.87327131052,372.8094213111833
Hsa-Mir-191-v2_5p,0.13712161323956817,90.10912468075226,1254.87715881067,30.717168278024644
Hsa-Mir-155_5p,0.5048529873291372,54.77386934673366,35.24390886636512,5.496756428699147
Hsa-Mir-342_5p*,0.2794518830173144,69.49152542372882,26.51376630313706,2.586708907623128
Hsa-Mir-340_5p,0.04414185775403785,97.14640198511165,253.17413433361367,1.293354453811564
Hsa-Mir-28-P1_3p,0.33230848877627917,54.403778040141674,744.9721653954608,355.995813411633
Hsa-Mir-184_3p,0.4449284553892911,2.1052631578947367,0.646677226905782,16.81360789955033
Hsa-Mir-29-P1b_3p,0.25792949825976497,78.97196261682244,163.93267702061573,13.25688315156853
Hsa-Mir-24-P1_3p,0.4162272473406846,68.20809248554913,38.15395638744114,3.8800633614346918
Hsa-Mir-574_3p,0.24434521739956097,81.75675675675676,39.12397222779981,3.23338613452891
Hsa-Mir-15-P1a_5p,0.015571332427747466,99.13299353686091,6100.106281402242,7.436788109416493
Hsa-Mir-181-P1a_5p,0.0340699111636865,97.61974192607713,8659.331406881874,129.65878399460928
Hsa-Mir-3136_5p,0.7691772993129972,14.285714285714288,1.293354453811564,3.8800633614346918
Hsa-Mir-127_3p,0.46704754324395037,43.85796545105567,147.76574634797117,43.974051429593175
Hsa-Mir-181-P2a_5p,0.27884552733805784,74.82758620689654,140.3289582385547,19.72365542062635
Hsa-Mir-10-P1a-v2_5p,0.19638438974358977,80.86124401913877,874.3076107766173,89.8881345399037
Hsa-Mir-375_3p,0.25308826530917805,75.96638655462185,292.2981065614135,79.54129890941118
Hsa-Mir-92-P2_5p*,0.4446416843685575,49.43181818181819,28.130459370401518,11.640190084304075
Hsa-Mir-126-v2_3p,0.23905643329296955,74.86583184257603,270.63441946006975,75.01455832107071
Hsa-Mir-15-P2a_5p,0.12362037080936963,91.34615384615384,2242.353284295799,57.230934581161705
Hsa-Mir-148-P2_3p,0.3763976000156918,43.399339933993396,170.07611067622068,156.49588891119924
Hsa-Mir-129-P2_5p,0.5535194739012083,8.333333333333334,0.323338613452891,0.9700158403586729
Hsa-Mir-10-P1b-v2_5p,0.2261948984460029,77.80074410913602,1217.0465410366817,176.86622155873138
Hsa-Let-7-P1_5p,0.3606249946520752,14.037626628075254,31.363845504930428,137.0955721040258
Hsa-Mir-1908_3p*,0.4160454662539318,2.5157232704402515,1.293354453811564,29.74715243766597
Hsa-Mir-181-P2c_5p,0.31943904118367444,67.07317073170731,17.783623739909004,2.910047521076019
Hsa-Mir-616_3p*,0.6107097115913137,2.2222222222222223,0.646677226905782,2.263370294170237
Hsa-Mir-21_5p,0.026232107814336977,98.30446805414059,4367.981329135105,15.520253445738767
Hsa-Mir-3130_5p,0.49310569631335416,17.307692307692303,2.910047521076019,6.143433655604929
Hsa-Mir-378_3p,0.38585130046459293,50.64496314496314,533.1853735838173,158.1125819784637
