miRNA,SRR12344556_trim_joined
Hsa-Let-7-P10_3p*,9.0011
Hsa-Let-7-P10_5p/7-P5_5p,8676.3675
Hsa-Let-7-P11_3p*,3.462
Hsa-Let-7-P11_5p,1846.264
Hsa-Let-7-P12_3p*,34.6196
Hsa-Let-7-P12_5p,4268.2522
Hsa-Let-7-P1_3p*,0.0
Hsa-Let-7-P1_5p/7-P3_5p/7-P6_5p/7-P7_5p,4488.0867
Hsa-Let-7-P2_3p*,1.0386
Hsa-Let-7-P2_5p,140.9018
Hsa-Let-7-P3_3p*,0.6924
Hsa-Let-7-P4_3p*,700.701
Hsa-Let-7-P4_5p,572.6084
Hsa-Let-7-P5_3p*,0.0
Hsa-Let-7-P6_3p*/7-P7_3p*,37.3892
Hsa-Let-7-P8_3p*,54.0066
Hsa-Let-7-P8_5p,2958.9384
Hsa-Let-7-P9_3p*,0.0
Hsa-Let-7-P9_5p,179.6758
Hsa-Mir-1-P1_3p/1-P2_3p,0.0
Hsa-Mir-1-P1_5p*,0.0
Hsa-Mir-1-P2_5p*,0.0
Hsa-Mir-1-P3_3p,0.0
Hsa-Mir-1-P3_5p*,0.0
Hsa-Mir-10-P1a-v1_3p*/10-P1a-v2_3p*,5.1929
Hsa-Mir-10-P1a-v1_5p/10-P1a-v2_5p,5264.9508
Hsa-Mir-10-P1b-v1_3p*/10-P1b-v2_3p*,7.6163
Hsa-Mir-10-P1b-v1_5p/10-P1b-v2_5p,16621.915
Hsa-Mir-10-P2a_3p*,0.0
Hsa-Mir-10-P2a_5p,264.4938
Hsa-Mir-10-P2b_3p*,4.1544
Hsa-Mir-10-P2b_5p,142.6328
Hsa-Mir-10-P2c_3p*,9.3473
Hsa-Mir-10-P2c_5p,301.1906
Hsa-Mir-10-P3a_3p*,30.4653
Hsa-Mir-10-P3a_5p,800.7517
Hsa-Mir-10-P3b_3p*,22.5027
Hsa-Mir-10-P3b_5p/10-P3c_5p,236.452
Hsa-Mir-10-P3c_3p*,135.3627
Hsa-Mir-101-P1-v1_3p/101-P1-v2_3p/101-P2-v1_3p/101-P2-v2_3p,4345.4539
Hsa-Mir-101-P1-v1_5p*/101-P1-v2_5p*,12.8093
Hsa-Mir-101-P2-v1_5p*/101-P2-v2_5p*,0.0
Hsa-Mir-103-P1_3p/103-P2_3p/103-P3_3p,7545.3448
Hsa-Mir-103-P1_5p*/103-P2_5p*,1.0386
Hsa-Mir-103-P3_5p*,0.0
Hsa-Mir-105-P1_3p*/105-P2_3p*,0.0
