miRNA,SRR12344553_trim_joined
Hsa-Let-7-P10_3p*,5.9403
Hsa-Let-7-P10_5p/7-P5_5p,12563.3034
Hsa-Let-7-P11_3p*,3.8741
Hsa-Let-7-P11_5p,2533.426
Hsa-Let-7-P12_3p*,42.3572
Hsa-Let-7-P12_5p,5736.5609
Hsa-Let-7-P1_3p*,0.0
Hsa-Let-7-P1_5p/7-P3_5p/7-P6_5p/7-P7_5p,5234.7313
Hsa-Let-7-P2_3p*,2.3245
Hsa-Let-7-P2_5p,168.1375
Hsa-Let-7-P3_3p*,1.2914
Hsa-Let-7-P4_3p*,484.2669
Hsa-Let-7-P4_5p,505.962
Hsa-Let-7-P5_3p*,9.2979
Hsa-Let-7-P6_3p*/7-P7_3p*,27.6355
Hsa-Let-7-P8_3p*,28.4103
Hsa-Let-7-P8_5p,2521.5454
Hsa-Let-7-P9_3p*,0.0
Hsa-Let-7-P9_5p,238.6467
Hsa-Mir-1-P1_3p/1-P2_3p,0.0
Hsa-Mir-1-P1_5p*,0.0
Hsa-Mir-1-P2_5p*,0.0
Hsa-Mir-1-P3_3p,0.0
Hsa-Mir-1-P3_5p*,0.0
Hsa-Mir-10-P1a-v1_3p*/10-P1a-v2_3p*,2.5828
Hsa-Mir-10-P1a-v1_5p/10-P1a-v2_5p,4021.8687
Hsa-Mir-10-P1b-v1_3p*/10-P1b-v2_3p*,3.0993
Hsa-Mir-10-P1b-v1_5p/10-P1b-v2_5p,8877.193
Hsa-Mir-10-P2a_3p*,0.0
Hsa-Mir-10-P2a_5p,119.3234
Hsa-Mir-10-P2b_3p*,2.0662
Hsa-Mir-10-P2b_5p,56.8206
Hsa-Mir-10-P2c_3p*,0.0
Hsa-Mir-10-P2c_5p,228.574
Hsa-Mir-10-P3a_3p*,12.139
Hsa-Mir-10-P3a_5p,513.1938
Hsa-Mir-10-P3b_3p*,4.649
Hsa-Mir-10-P3b_5p/10-P3c_5p,77.741
Hsa-Mir-10-P3c_3p*,27.8938
Hsa-Mir-101-P1-v1_3p/101-P1-v2_3p/101-P2-v1_3p/101-P2-v2_3p,6714.9091
Hsa-Mir-101-P1-v1_5p*/101-P1-v2_5p*,18.3376
Hsa-Mir-101-P2-v1_5p*/101-P2-v2_5p*,0.0
Hsa-Mir-103-P1_3p/103-P2_3p/103-P3_3p,7634.3705
Hsa-Mir-103-P1_5p*/103-P2_5p*,0.0
Hsa-Mir-103-P3_5p*,0.0
Hsa-Mir-105-P1_3p*/105-P2_3p*,0.0
Hsa-Mir-105-P1_5p/105-P2_5p,0.0
Hsa-Mir-1179_3p*,0.0
Hsa-Mir-1179_5p,0.0
Hsa-Mir-1180_3p,24.7945
Hsa-Mir-1180_5p*,0.0
Hsa-Mir-122_3p*,5.1655
Hsa-Mir-122_5p,110.8003
Hsa-Mir-124-P1-v1_3p/124-P1-v2_3p/124-P2-v1_3p/124-P2-v2_3p/124-P3-v1_3p/124-P3-v2_3p,0.0
Hsa-Mir-124-P1-v1_5p*/124-P1-v2_5p*/124-P2-v1_5p*/124-P2-v2_5p*/124-P3-v1_5p*/124-P3-v2_5p*,0.0
Hsa-Mir-1245_3p*,0.0
Hsa-Mir-1245_5p,0.0
Hsa-Mir-1247_3p*,0.0
Hsa-Mir-1247_5p,0.0
Hsa-Mir-1249_3p,5.6821
Hsa-Mir-1249_5p*,0.0
Hsa-Mir-1251_3p*,0.0
Hsa-Mir-1251_5p,0.0
Hsa-Mir-1252_3p*,0.0
Hsa-Mir-1252_5p,0.0
Hsa-Mir-1256_3p*,0.7748
Hsa-Mir-1256_5p,0.0
Hsa-Mir-126-v1_3p/126-v2_3p/126-v3_3p,1067.4533
Hsa-Mir-126-v1_5p/126-v2_5p*/126-v3_5p*,11290.0043
Hsa-Mir-1266_3p*,0.0
Hsa-Mir-1266_5p,0.0
Hsa-Mir-1269_3p,4.3907
Hsa-Mir-1269_5p*,0.0
Hsa-Mir-1270_3p*,0.0
Hsa-Mir-1270_5p,3.6159
Hsa-Mir-1271_3p*,0.0
Hsa-Mir-1271_5p,3.6159
Hsa-Mir-1276_3p*,0.0
Hsa-Mir-1276_5p,0.0
